,cost_for_two,cuisines,locality,rating,rest_name,votes
4982,350,"['Kerala', 'North Indian', 'Chinese', 'Rolls', 'Juices']",New BEL Road,                                         2.6                                     ,Oottupura                                     ,185
4983,400,"['Bakery', 'Fast Food', 'Mithai']",Basaveshwara Nagar,                                         3.8                                     ,Pavitra Paradise                                     ,53
4984,600,"['Chinese', 'North Indian', 'Biryani', 'Andhra', 'Malwani']",Yelahanka,                                         3.8                                     ,Vandhana Gardenia                                     ,267
4985,400,"['North Indian', 'Chinese']",Marathahalli,                                         3.7                                     ,Karavali Kitchen                                     ,133
4986,600,"['Biryani', 'South Indian', 'North Indian', 'Chinese', 'Andhra']",Basavanagudi,                                         3.7                                     ,Ma-Arya Family Restaurant                                     ,71
4987,500,['Cafe'],Bellandur,                                         3.5                                     ,Costa Coffee                                     ,7
4988,400,"['Rolls', 'Fast Food', 'Biryani']",Nagawara,                                         3.9                                     ,Kitchen King                                     ,376
4989,800,"['Andhra', 'Chinese', 'North Indian', 'Biryani']",Thippasandra,                                         3.9                                     ,Plantain Leaf                                     ,583
4990,300,"['Arabian', 'Lebanese', 'Chinese']",BTM,                                         3.4                                     ,Falafel Bistro                                     ,8
4991,300,['Biryani'],Marathahalli,                                         3.7                                     ,Bengaluru's Biryanis Paradise                                     ,28
4992,600,"['North Indian', 'Chinese']",Indiranagar,                                         3.8                                     ,Shreedevi                                     ,138
4993,300,"['North Indian', 'Chinese', 'Fast Food']",Banashankari,                                         3.6                                     ,Manifest Cafe                                     ,13
4994,"1,100","['Finger Food', 'Chinese', 'North Indian']",Mysore Road,                                         3.2                                     ,The Club                                     ,11
4995,400,"['Andhra', 'Biryani', 'Chinese', 'North Indian']",Hebbal,                                         3.8                                     ,Annapoorna Andhra Restaurant                                     ,99
4996,"1,000","['Continental', 'Parsi', 'Chinese', 'North Indian', 'Italian', 'Steak']",Koramangala 7th Block,                                         3.9                                     ,JukeBox                                     ,310
4997,500,"['Bakery', 'Desserts']",Banashankari,                                         3.4                                     ,Cake Bite                                     ,5
4998,900,"['North Indian', 'Chinese']",Sarjapur Road,                                         2.6                                     ,Amruth Parkland                                     ,65
4999,400,"['South Indian', 'North Indian', 'Chinese']",Mysore Road,                                         3.7                                     ,Kadamba Veg                                     ,134
5000,150,['Street Food'],Rajajinagar,                                         3.7                                     ,Bangarpet Chats                                     ,21
5001,500,"['Chinese', 'Momos', 'Asian']",Koramangala 1st Block,                                         3.8                                     ,Garage Food Company                                     ,65
5002,250,"['Biryani', 'Kebab']",Jayanagar,                                         3.4                                     ,Jayanagar Grill House                                     ,38
5003,300,"['North Indian', 'Continental', 'Fast Food']",HSR,                                         3.5                                     ,Flavours                                     ,12
5004,350,"['Beverages', 'Juices', 'Fast Food']",Whitefield,                                         3.7                                     ,Arogya Thaana                                     ,77
